VDC("/Vout") X,VDC("/Vout") Y
0.0001,1.200023023205183
0.0002,1.200015085311255
0.0003,1.200010454925088
0.0004,1.200007133732432
0.0005,1.20000452158337
0.0005999999999999999,1.200002355351654
0.0007,1.200000495885348
0.0008,1.199998860585178
0.0009,1.199997396371594
0.001,1.19999606713527
0.0011,1.199994847128888
0.0012,1.199993717397065
0.0013,1.199992663552076
0.0014,1.199991674408805
0.0015,1.199990741142134
0.0016,1.199989856580359
0.0017,1.199989014894922
0.0018,1.199988211245346
0.0019,1.199987441568189
0.002,1.19998670246782
0.0021,1.199985990972525
0.0022,1.199985304572247
0.0023,1.199984641075531
0.0024,1.199983998563997
0.0025,1.19998337539891
0.0026,1.199982770052243
0.0027,1.199982181224086
0.0028,1.199981607738395
0.0029,1.199981048537979
0.003,1.199980502718089
0.0031,1.19997996937731
0.0032,1.199979447759868
0.0033,1.199978937161105
0.0034,1.199978436935784
0.0035,1.199977946537849
0.0036,1.199977465383057
0.0037,1.199976992995675
0.0038,1.199976528919604
0.0039,1.19997607273147
0.004,1.199975624079669
0.0041,1.19997518255981
0.0042,1.199974747854246
0.0043,1.199974319650446
0.0044,1.199973897670129
0.0045,1.199973481630173
0.0046,1.199973071282498
0.0047,1.199972666390581
0.0048,1.199972266732372
0.0049,1.199971872099467
0.005,1.199971482295845
0.0051,1.199971097136928
0.0052,1.199970716448703
0.0053,1.199970340066926
0.0054,1.1999699678364
0.0055,1.199969599610319
0.0056,1.19996923524967
0.0057,1.19996887462269
0.0058,1.199968517604362
0.0059,1.199968164075967
0.006,1.199967813924662
0.0061,1.199967467043096
0.0062,1.19996712332906
0.0063,1.19996678268516
0.0064,1.19996644501852
0.0065,1.199966110240504
0.0066,1.199965778266461
0.0067,1.19996544901549
0.0068,1.199965122410218
0.0069,1.199964798376601
0.007,1.199964476843734
0.0071,1.199964157743671
0.0072,1.19996384101127
0.0073,1.199963526584032
0.0074,1.199963214401967
0.0075,1.199962904407458
0.0076,1.199962596545136
0.0077,1.199962290761765
0.0078,1.199961987006135
0.007900000000000001,1.19996168522896
0.008,1.199961385382782
0.0081,1.199961087421882
0.008200000000000001,1.199960791302196
0.0083,1.199960496981235
0.008399999999999999,1.199960204418014
0.008500000000000001,1.199959913572978
0.0086,1.199959624407938
0.008699999999999999,1.19995933688601
0.008800000000000001,1.199959050971553
0.0089,1.199958766630119
0.008999999999999999,1.199958483828393
0.0091,1.199958202534153
0.0092,1.199957922716215
0.009299999999999999,1.199957644344393
0.0094,1.199957367389455
0.0095,1.199957091823086
0.009599999999999999,1.199956817617847
0.0097,1.199956544747142
0.0098,1.199956273185181
0.009900000000000001,1.199956002906951
0.01,1.199955733888184
