Loop Gain dB20 (r_load=12000) X,Loop Gain dB20 (r_load=12000) Y
1,94.76848289096901
1.023059729842509,94.76820115972836
1.046651210825427,94.76790630474116
1.070786704986395,94.76759771596853
1.095478757122332,94.76727475460063
1.12074020130978,94.76693675259762
1.146584167575622,94.76658301027243
1.173024088721613,94.76621279644903
1.200073707306289,94.76582534560225
1.227747082787869,94.76541985656581
1.256058598831886,94.76499549159142
1.285022970787309,94.76455137380547
1.314655253335082,94.76408658606579
1.344970848313024,94.76360016868361
1.375985512721172,94.76309111801163
1.407715366911727,94.76255838288944
1.44017690296786,94.76200086516202
1.473386993275719,94.76141741530775
1.507362899294123,94.76080683070879
1.542122280526466,94.76016785329182
1.57768320369952,94.75949916800957
1.614064152153895,94.7587993975249
1.651284035451041,94.75806710315078
1.689362199201789,94.75730077824511
1.728318435121529,94.75649884806138
1.768172991317259,94.7556596656249
1.808946582811855,94.75478150773731
1.850660402311025,94.75386257310157
1.893336131218546,94.75290097719638
1.936995950905506,94.7518947496802
1.98166255423942,94.75084182995373
2.027359157379196,94.74974006381893
2.074109511842097,94.74858719802282
2.121937916848953,94.74738087751319
2.170869231954065,94.74611863946333
2.22092888996634,94.74479790920681
2.272142910168386,94.74341599529141
2.32453791184044,94.74197008443312
2.37814112809615,94.7404572354185
2.432980420037406,94.73887437430943
2.489084291235582,94.73721828847596
2.546481902546706,94.73548562055251
2.60520308726827,94.7336728613667
2.665278366645546,94.73177634487041
2.726738965735475,94.72979224061351
2.789616829636377,94.72771654548362
2.853944640091907,94.72554507899125
2.919755832477902,94.72327347335792
2.987084613180931,94.72089716603782
3.055965977377597,94.71841139314266
3.126435727223822,94.71581117917032
3.198530490463571,94.71309132820146
3.272287739466687,94.71024641618644
3.347745810705742,94.70727078040679
3.424943924682006,94.70415850944477
3.503922206310914,94.70090343463887
3.584721705777611,94.69749911761187
3.667384419873419,94.69393884125209
3.751953313824325,94.69021559660861
3.838472343622819,94.68632207410805
3.926986478874702,94.68225064923375
4.017541726172737,94.6779933717439
4.110185153009286,94.67354195241505
4.20496491224037,94.6688877507834
4.30193026711386,94.66402176130153
4.401131616874816,94.65893460008722
4.502620522961273,94.65361649154438
4.606449735804095,94.64805725286213
4.712673222244832,94.64224628082772
4.821346193585822,94.63617253613219
4.932525134287118,94.62982452893795
5.046267831325163,94.62319030275241
5.162633404228463,94.61625741899056
5.281682335805882,94.60901294264963
5.403476503583515,94.60144342362662
5.528079211966493,94.59353488288707
5.655555225142428,94.58527279541839
5.7859708007436,94.57664207308001
5.919393724285391,94.56762705052462
6.055893344398853,94.55821146645674
6.195540608875736,94.54837844928696
6.338408101544702,94.53811049962451
6.484570079997891,94.52738947587341
6.634102514187457,94.51619657853024
6.787083125912126,94.50451233384217
6.943591429214308,94.49231658124525
7.103708771708749,94.4795884576571
7.267518376864211,94.46630638554808
7.435105387260166,94.45244805934585
7.606556908840965,94.43799043450568
7.781962056190506,94.42290971753435
7.961411998850911,94.40718135540675
8.145000008709319,94.39078002872597
8.332821508477386,94.37367964520119
8.52497412128872,94.35585333473684
8.721557721440014,94.33727344577569
8.922674486302265,94.31791154570408
9.12842894942904,94.29773842103053
9.338928054889408,94.27672408141403
9.554281212853782,94.25483776571313
9.774600356461546,94.23204795087032
10.00000000000004,94.20832236428517
10.23059729842512,94.18362799698744
10.4665121082543,94.15793112458869
10.70786704986399,94.13119732649494
10.95478757122336,94.10339151288333
11.20740201309784,94.07447795337175
11.46584167575626,94.04442031103757
11.73024088721618,94.01318167877253
12.00073707306293,93.98072462220827
12.27747082787874,93.94701122541976
12.5605859883189,93.91200314240697
12.85022970787314,93.87566165135426
13.14655253335087,93.83794771595237
13.44970848313029,93.79882204947978
13.75985512721177,93.75824518437693
14.07715366911733,93.71617754638109
14.40176902967865,93.67257953309183
14.73386993275725,93.62741159683739
15.07362899294129,93.58063433134957
15.42122280526472,93.53220856483189
15.77683203699526,93.48209545185865
16.140641521539,93.43025657374484
16.51284035451047,93.37665403914507
16.89362199201796,93.32125058808955
17.28318435121535,93.26400969765267
17.68172991317265,93.20489568922788
