db(mag((VF("/Vout") / VF("/Vin")))) (r_load=12000) X,db(mag((VF("/Vout") / VF("/Vin")))) (r_load=12000) Y
1000,-63.84497161471564
1318.256738556407,-61.44515200962338
1737.800828749376,-59.04525530131392
2290.867652767774,-56.64531384015966
3019.951720402017,-54.24534596133071
3981.071705534974,-51.8453617259853
5248.074602497729,-49.44536607216526
6918.30970918937,-47.04536036145348
9120.108393559105,-44.64534280573023
12022.64434617414,-42.24530790802056
15848.93192461115,-39.84524474357243
20892.96130854042,-37.44513354676022
27542.2870333817,-35.0449395467639
36307.80547701019,-32.64460215778912
47863.00923226391,-30.24401624840173
63095.73444801943,-27.84299995741805
83176.37711026725,-25.44123998738577
109647.8196143187,-23.03820030687059
144543.977074593,-20.63297497881876
190546.0717963251,-18.22406741491841
251188.6431509586,-15.8091140420731
331131.1214825919,-13.38473575306394
436515.8322401671,-10.94731781501349
575439.9373371585,-8.497652695430363
758577.5750291859,-6.059339296853906
1000000.000000003,-3.740047185465196
1318256.738556411,-1.883700054824706
1737800.828749381,-1.171745820743618
2290867.652767781,-2.025605285427225
3019951.720402027,-3.961643295846051
3981071.705534987,-6.323323333122179
5248074.602497745,-8.80234858147066
6918309.709189391,-11.31191436796112
9120108.393559132,-13.8410342156019
12022644.34617417,-16.39285553811255
15848931.9246112,-18.96391260372847
20892961.30854048,-21.55054216829494
27542287.03338178,-24.16786540462429
36307805.47701029,-26.85518532476479
47863009.23226404,-29.655445199048
63095734.4480196,-32.56338645580691
83176377.11026748,-35.48372576875242
109647819.614319,-38.24661654408445
144543977.0745934,-40.45286847982375
190546071.7963256,-41.84738741937309
251188643.1509592,-42.66504067395357
331131121.4825927,-43.16330243264623
436515832.2401682,-43.44504756744211
575439937.3371599,-43.57935287780074
758577575.0291877,-43.63196748614737
1000000000,-43.64759386030273
