Loop Gain Phase (r_load=120) X,Loop Gain Phase (r_load=120) Y
1,178.6151621480593
1.023059729842509,178.5832410302748
1.046651210825427,178.5505847306554
1.070786704986395,178.5171763604053
1.095478757122332,178.4829986460609
1.12074020130978,178.4480339204988
1.146584167575622,178.4122641144498
1.173024088721613,178.3756707476816
1.200073707306289,178.338234919662
1.227747082787869,178.2999373004851
1.256058598831886,178.2607581213052
1.285022970787309,178.2206771648264
1.314655253335082,178.1796737553098
1.344970848313024,178.1377267487205
1.375985512721172,178.0948145224083
1.407715366911727,178.050914964774
1.44017690296786,178.0060054646022
1.473386993275719,177.9600629003924
1.507362899294123,177.9130636291516
1.542122280526466,177.8649834755157
1.57768320369952,177.8157977200467
1.614064152153895,177.7654810878353
1.651284035451041,177.7140077366664
1.689362199201789,177.6613512449607
1.728318435121529,177.6074845997652
1.768172991317259,177.5523801841404
1.808946582811855,177.496009764655
1.850660402311025,177.438344478733
1.893336131218546,177.3793548214539
1.936995950905506,177.319010632679
1.98166255423942,177.2572810832012
2.027359157379196,177.1941346618345
2.074109511842097,177.1295391611043
2.121937916848953,177.0634616637965
2.170869231954065,176.9958685284917
2.22092888996634,176.9267253756711
2.272142910168386,176.8559970731027
2.32453791184044,176.783647721433
2.37814112809615,176.7096406393367
2.432980420037406,176.6339383487916
2.489084291235582,176.5565025603358
2.546481902546706,176.47729415755
2.60520308726827,176.3962731824955
2.665278366645546,176.3133988200418
2.726738965735475,176.2286293827575
2.789616829636377,176.1419222958827
2.853944640091907,176.0532340813623
2.919755832477902,175.9625203432202
2.987084613180931,175.8697357516247
3.055965977377597,175.7748340281123
3.126435727223822,175.6777679300558
3.198530490463571,175.5784892357676
3.272287739466687,175.4769487296853
3.347745810705742,175.373096187096
3.424943924682006,175.2668803603073
3.503922206310914,175.1582489636811
3.584721705777611,175.047148660273
3.667384419873419,174.9335250477046
3.751953313824325,174.8173226450429
3.838472343622819,174.6984848803506
3.926986478874702,174.5769540778745
4.017541726172737,174.4526714466846
4.110185153009286,174.325577069949
4.20496491224037,174.1956098938516
4.30193026711386,174.0627077191022
4.401131616874816,173.9268071912214
4.502620522961273,173.787843793999
4.606449735804095,173.6457518418954
4.712673222244832,173.5004644755927
4.821346193585822,173.3519136575096
4.932525134287118,173.2000301687874
5.046267831325163,173.044743608916
5.162633404228463,172.8859823953875
5.281682335805882,172.7236737665083
5.403476503583515,172.5577437855653
5.528079211966493,172.3881173471648
5.655555225142428,172.2147181853149
5.7859708007436,172.0374688855211
5.919393724285391,171.8562908973022
6.055893344398853,171.6711045516026
6.195540608875736,171.4818290794345
6.338408101544702,171.2883826348839
6.484570079997891,171.0906823219684
6.634102514187457,170.8886442229295
6.787083125912126,170.6821834337672
6.943591429214308,170.4712141006314
7.103708771708749,170.2556494629858
7.267518376864211,170.0354019011651
7.435105387260166,169.8103829872818
7.606556908840965,169.5805035432574
7.781962056190506,169.3456737043552
7.961411998850911,169.1058029873498
8.145000008709319,168.86080036602
8.332821508477386,168.6105743531342
8.52497412128872,168.3550330888721
8.721557721440014,168.0940844370309
8.922674486302265,167.8276360880321
9.12842894942904,167.5555956713445
9.338928054889408,167.2778708745373
9.554281212853782,166.9943695724361
9.774600356461546,166.7049999636399
10.00000000000004,166.4096707182601
10.23059729842512,166.1082911343949
10.4665121082543,165.8007713040738
10.70786704986399,165.4870222901973
10.95478757122336,165.1669563138493
11.20740201309784,164.8404869532897
11.46584167575626,164.507529350946
11.73024088721618,164.168000436651
12.00073707306293,163.8218191571559
12.27747082787874,163.4689067211676
12.5605859883189,163.1091868519539
12.85022970787314,162.7425860563017
13.14655253335087,162.3690338999035
13.44970848313029,161.9884632974658
13.75985512721177,161.6008108136704
14.07715366911733,161.206016971297
14.40176902967865,160.8040265753979
14.73386993275725,160.3947890422402
15.07362899294129,159.9782587393682
15.42122280526472,159.5543953353757
15.77683203699526,159.1231641531005
16.140641521539,158.6845365353741
16.51284035451047,158.2384902090475
